mcc,mnc,lac,cellid,lat,lon
240,1,195,12793084,57.86499,11.928405
240,1,195,12804034,57.87322998,11.94763184
240,2,2022,484118,57.86773682,11.94763184
240,2,2022,484116,57.86224365,11.92565918
240,2,2022,483860,57.86773682,11.93664551
240,2,20202,8530386,57.872318,11.935034
240,41,195,12793081,57.86224365,11.92565918
240,41,195,12793087,57.86224365,11.92565918
240,41,195,12792962,57.86773682,11.93664551
240,41,195,12804033,57.87322998,11.94763184
240,41,195,12804037,57.87322998,11.94763184
240,41,195,12804031,57.87322998,11.94763184
240,41,195,12793084,57.86224365,11.92565918
240,41,195,12792968,57.86773682,11.93664551
240,41,195,12823081,57.86224365,11.92565918
240,41,195,12834033,57.86773682,11.94763184
240,41,195,12822962,57.86224365,11.92565918
240,41,195,12804039,57.86773682,11.94763184
240,41,195,12834031,57.87322998,11.94763184
240,41,195,12834032,57.86773682,11.94763184
240,41,195,12792965,57.86224365,11.93664551
240,7,195,12804037,57.87322998,11.94763184
240,7,195,12792965,57.862244,11.920166
240,1,68,25988620,57.87322998,11.94763184
240,1,67,26251541,57.86773682,11.94763184
240,1,68,25988640,57.87322998,11.94763184
240,1,601,25989132,57.863464,11.920776
240,1,601,25988620,57.87322998,11.94763184
240,1,601,25988886,57.87323,11.934814
240,1,601,25988640,57.87323,11.940308
240,24,11003,14463,57.871327,11.942273
240,5,195,12792968,57.86224365,11.92565918
240,5,195,12793081,57.86224365,11.92565918
240,5,195,12804034,57.87322998,11.94763184
240,5,195,12804031,57.87322998,11.94763184
240,5,195,12804036,57.86773682,11.94763184
240,5,195,12834031,57.87322998,11.94763184
240,5,195,12804016,57.87872314,11.93664551
240,5,195,12804037,57.87322998,11.94763184
240,5,195,12834033,57.87322998,11.94763184
240,5,195,12804033,57.86773682,11.94763184
240,5,195,12804039,57.87322998,11.94763184
240,2,20202,13248975,57.87322998,11.94763184
240,2,20202,13300922,57.86773682,11.92565918
240,2,20202,13248935,57.87872314,11.93664551
240,2,20202,13296362,57.87322998,11.94763184
240,1,195,12823081,57.87323,11.930052
240,1,601,26252576,57.87322998,11.92565918
240,1,601,25988885,57.868424,11.933898
240,7,195,12804032,57.86773682,11.94763184
240,7,195,12804031,57.87322998,11.94763184
240,1,195,12834033,57.86773682,11.93664551
240,1,195,12834031,57.87322998,11.94763184
240,7,11014,28530182,57.869815,11.949265
